# Synthetic sparse software fixture; not experimental data.
# two_theta_degrees normalized_intensity
20.0 0.0000
25.0 0.0000
30.0 0.0000
35.0 0.0000
39.8 0.0200
40.0 0.0800
40.2 0.2200
40.4 0.4200
40.6 0.2200
40.8 0.0800
41.0 0.0200
43.8 0.0200
44.0 0.1000
44.2 0.3500
44.4 1.0000
44.6 0.3500
44.8 0.1000
45.0 0.0200
50.8 0.0100
51.0 0.0600
51.2 0.2200
51.4 0.4800
51.6 0.2200
51.8 0.0600
52.0 0.0100
57.6 0.0100
57.8 0.0500
58.0 0.1600
58.2 0.3000
58.4 0.1600
58.6 0.0500
58.8 0.0100
65.0 0.0000
72.8 0.0100
73.0 0.0400
73.2 0.1100
73.4 0.1800
73.6 0.1100
73.8 0.0400
74.0 0.0100
75.4 0.0100
75.6 0.0500
75.8 0.1800
76.0 0.4200
76.2 0.1800
76.4 0.0500
76.6 0.0100
80.0 0.0000
86.6 0.0100
86.8 0.0300
87.0 0.0900
87.2 0.1500
87.4 0.0900
87.6 0.0300
87.8 0.0100
91.8 0.0100
92.0 0.0300
92.2 0.0900
92.4 0.1800
92.6 0.0900
92.8 0.0300
93.0 0.0100
97.4 0.0100
97.6 0.0300
97.8 0.0800
98.0 0.1400
98.2 0.0800
98.4 0.0300
98.6 0.0100
100.0 0.0000
