species,source_col1_labeled_dgmax_her_eV,source_col2_labeled_dgmax_co_eV,source_col3_labeled_dgmax_hcooh_eV,e_star_cooh_eV,e_star_ocho_eV
FeFe,0.23,0.26,0.37,-0.43,-0.49
FeCo,0.30,0.41,1.00,-0.35,-0.14
FeZn,0.22,0.48,0.41,-0.65,-1.14
FeCu,0.24,0.76,0.35,-0.53,0.10
FeNi,0.30,0.88,0.47,-0.45,0.33
FeRh,0.32,0.43,0.46,-0.33,-0.14
FeMo,0.31,0.70,0.53,-0.65,-1.35
FeIr,0.24,0.42,0.38,-0.36,-0.18
FeMn,0.18,0.26,0.31,-0.59,-0.53
FeAg,0.28,0.28,0.39,-0.50,-0.63
FePd,0.27,0.32,0.40,-0.41,-0.42
FePt,0.23,0.29,0.42,-0.53,-0.33
CoCo,0.66,0.64,0.77,0.03,0.05
CoZn,0.23,0.30,0.33,-0.59,-0.94
CoCu,0.27,0.35,0.49,-0.39,-0.27
CoNi,0.51,0.57,0.52,-0.28,-0.08
CoRh,0.82,0.85,0.82,0.19,0.17
CoMo,0.86,0.86,0.57,-1.33,-1.72
CoIr,0.63,0.82,0.10,-0.02,0.23
CoMn,0.29,0.37,0.41,-0.39,-0.26
CoAg,0.29,0.30,0.25,-0.51,-0.29
CoPd,0.39,0.61,0.50,-0.25,-0.04
CoPt,0.26,0.52,0.47,-0.51,-0.01
ZnZn,0.96,0.43,0.37,0.35,-0.67
ZnCu,0.48,0.58,0.62,-0.03,-1.17
ZnNi,0.27,0.51,0.73,-0.62,-0.95
ZnRh,0.38,0.38,0.24,-0.46,-0.97
ZnMo,0.89,1.02,0.57,-1.39,-1.83
ZnIr,0.37,0.41,0.21,-0.48,-1.14
ZnMn,0.36,0.46,0.57,-0.49,-0.99
ZnAg,0.60,0.32,0.64,-0.03,-0.82
ZnPd,1.01,0.61,1.43,0.39,-0.11
ZnPt,0.96,0.62,0.65,0.32,-0.05
CuCu,1.51,0.53,1.75,0.71,-0.13
CuNi,0.34,0.68,0.98,-0.65,0.14
CuRh,0.37,1.02,0.38,-0.37,0.32
CuMo,0.99,0.92,0.61,-1.40,-1.71
CuIr,0.23,0.49,0.60,-0.75,-0.13
CuMn,0.42,0.45,0.50,-0.24,-0.76
CuAg,1.16,0.38,1.33,0.48,-0.27
CuPd,1.61,1.03,1.51,0.87,0.35
CuPt,0.95,0.80,1.23,0.28,0.23
NiNi,0.55,1.01,1.10,0.02,0.45
NiRh,0.26,0.63,0.27,-0.36,0.06
NiMo,1.03,0.96,0.62,-1.46,-1.76
NiIr,0.28,0.76,0.13,-0.59,0.28
NiMn,0.22,0.77,0.92,-0.50,0.13
NiAg,0.76,0.32,0.98,0.24,-0.19
NiPd,1.43,1.04,0.8,0.67,0.37
NiPt,1.25,0.94,0.82,0.70,0.32
RhRh,0.77,1.45,0.94,0.24,1.02
RhMo,0.84,0.80,0.57,-1.28,-1.70
RhIr,0.76,1.20,0.67,0.06,0.57
RhMn,0.30,0.34,0.83,-0.31,-0.24
RhAg,0.85,1.11,0.72,0.13,0.59
RhPd,0.22,0.59,0.22,-0.54,-0.10
RhPt,0.23,0.58,0.22,-0.52,-0.15
MoMo,0.72,1.14,0.33,-1.29,-2.12
MoIr,0.85,0.77,0.60,-1.30,-1.69
MoMn,0.75,0.97,0.52,-1.31,-1.89
MoAg,1.13,0.81,0.81,-1.46,-1.65
MoPd,1.04,0.80,0.59,-1.41,-1.72
MoPt,1.08,0.81,0.57,-1.38,-1.70
IrIr,0.75,1.16,0.59,-0.01,0.52
IrMn,0.29,0.31,0.54,-0.35,-0.26
IrAg,1.27,1.60,0.60,0.46,1.03
IrPd,0.50,0.60,0.02,-0.22,-0.06
IrPt,0.28,0.48,0.03,-0.71,-0.06
MnMn,0.30,0.31,0.26,-0.71,-0.74
MnAg,0.48,0.28,0.56,-0.14,-0.58
MnPd,0.27,0.27,0.39,-0.43,-0.60
MnPt,0.30,0.30,0.39,-0.41,-0.60
AgAg,0.69,0.69,0.72,0.09,0.08
AgPd,1.34,0.51,1.25,0.77,0.01
AgPt,1.43,0.89,1.11,0.77,0.29
PdPd,1.59,1.31,1.18,0.91,0.72
PdPt,0.91,1.13,0.79,0.23,0.56
PtPt,1.45,1.27,0.82,0.77,0.66
SnSn,0.68,0.29,0.49,0.05,-0.54
SnPt,1.34,0.72,1.10,0.69,0.14
SnIr,1.20,0.48,0.70,0.62,-0.03
SnAg,1.32,0.66,0.98,0.67,0.09
SnPd,1.31,0.64,1.00,0.65,0.05
SnRh,1.07,0.35,0.35,0.34,-0.31
SnMo,0.48,0.46,0.41,-0.09,-0.83
SnZn,1.28,0.60,0.59,0.60,-0.01
SnCu,0.55,0.61,0.59,-0.10,0.03
SnNi,0.96,0.23,0.68,0.31,-0.29
SnCo,0.76,0.31,0.46,0.09,-0.52
SnFe,1.67,0.62,1.04,1.01,0.03
SnMn,1.50,0.58,0.36,0.81,-0.03
